source,target,weight
IL10RA,MYO1F,0.9153374850583476
ANXA2P2,ANXA2,0.9328493054186268
DACT3,TAGLN,0.9259525779308388
MNDA,CD163,0.901907259190508
CYTH4,C1QC,0.9088944245930946
VIM,MRC2,0.9154068942096184
ZEB1,FBXL7,0.9266428647803902
SASH3,ARHGAP9,0.9381808699514392
LAIR1,SIGLEC7,0.9423635225515088
COL6A3,ADAMTS2,0.927028941241362
AEBP1,COL1A2,0.9430585093699568
C1QA,CD300A,0.9007925827741352
TNFAIP8L2,BTK,0.9024455207201404
ZEB2,C1R,0.9061370218875294
GPR176,WISP1,0.9162764992028548
BNC2,GLI3,0.9436263727314844
GUCY1B3,SDC2,0.9212230634504608
CYTH4,CD4,0.9180260770949664
MFRP,EFEMP2,0.929737698092846
COL6A2,CERCAM,0.9077954032937988
GGT5,EFEMP2,0.9113806717406144
CXCR5,BLK,0.906273483585084
HK3,HAVCR2,0.9136831208806532
SPI1,MYO1F,0.9292309336818392
CD3E,SIRPG,0.953308058643738
MSRB3,DZIP1,0.917319032207238
CYTH4,CLEC7A,0.9014416322207416
FLI1,HCLS1,0.9230626963829917
GLI3,SULF1,0.9099981759606112
HCLS1,IKZF1,0.9387485385774836
MYLK,FHL1,0.9039615881884734
MAP1A,FBXL7,0.9235050330228586
C1QB,CD53,0.9057274803172488
AOC3,PLN,0.9221744251400258
COL1A1,ZNF469,0.9352365329496772
SPI1,LILRB4,0.9400320639920451
CYBB,IGSF6,0.9298217338481992
GPR116,ELTD1,0.9256532220772026
C17orf87,CD4,0.9050392768919124
CLEC7A,CMKLR1,0.9031260687927464
CCR5,DOCK2,0.9118463611606752
CD93,TEK,0.9043301107917197
CYBB,C3AR1,0.9401845640263816
SIGLEC10,MYO1F,0.9017587063826767
BGN,COL1A2,0.9293145504447022
SYDE1,EFEMP2,0.9556217581588096
SCARF2,COL5A1,0.906844345871224
MRAS,GNB4,0.926254733919525
ADAMTS2,COL6A3,0.927028941241362
CMKLR1,ABI3,0.911135383733359
CLEC7A,TLR8,0.9326556670261624
IPW,SNRPN,0.9355343135947598
AEBP1,SERPING1,0.9094881262590108
FGR,LILRB4,0.9042808492145497
TIMP2,C1S,0.9029987306506608
CALD1,PDGFRB,0.9002260267477074
MPDZ,LAMA4,0.9019499412674008
LILRB4,CD163,0.9063020771161636
ADAMTS12,INHBA,0.9086626560580372
BTK,SASH3,0.9348898208496677
CD84,CD86,0.9233068729801996
MYH11,HSPB7,0.9140019178088904
IL10RA,ITGB2,0.909546544474136
C1S,TIMP2,0.9029987306506608
CD53,LCP1,0.9271372739586052
LRRC25,CYBB,0.9162581211032972
LUM,FSTL1,0.9315594377082249
LILRB2,LILRB4,0.9068236521320856
SYT11,DDR2,0.9117205233501372
AEBP1,NTM,0.906775594014771
MYO1F,CD4,0.9071913423179924
CYYR1,MMRN2,0.9161608408711416
FSTL1,FERMT2,0.9343355156679274
ARHGAP25,APBB1IP,0.9161577918398216
CMKLR1,HCLS1,0.9126718168304851
GLI3,C10orf72,0.9027797924249884
CLIP3,TNS1,0.9063758204141698
CYTH4,PIK3R5,0.931771209146771
SIGLEC9,LRRC25,0.938803456264914
CALCRL,S1PR1,0.9163779825020648
ADAM12,COL1A2,0.929147853619002
FCER1G,LAPTM5,0.9379564081314108
CALCRL,TEK,0.914510511648604
C10orf72,GAS7,0.9011240506121632
COL8A1,INHBA,0.9131337128724348
FRMD6,FSTL1,0.9192129483223748
DOK2,CYBB,0.901034424744689
SASH3,MAP4K1,0.9000728132609057
TYROBP,C3AR1,0.9278624077226216
IGSF6,LCP2,0.9120099794421168
CTAGE4,CTAGE9,0.9468195923323656
DCN,LUM,0.9631708040956504
PTPRC,ARHGAP30,0.927382674270996
PDCD1LG2,EVI2A,0.9076958528972472
DKK3,SDC2,0.905229852667362
ADAMTS2,COL1A1,0.9175453985189672
TCF4,C1S,0.9198505406488516
C3AR1,LAPTM5,0.9443866639274708
PCOLCE,SPARC,0.9092232737335938
GYPC,PLEKHO1,0.9231572431522972
CD248,THY1,0.910839776102928
AEBP1,ITGA11,0.9270818075592724
BTK,RCSD1,0.9117038671402704
GLI3,GLI2,0.9016832523033262
PLEK,LAPTM5,0.9021628695845187
C10orf72,OLFML1,0.9255409809823294
ITK,ZNF831,0.923178617642844
PDGFRB,ANGPTL2,0.9092966559789254
MSR1,TREM2,0.9090920773333144
FRMD6,MRAS,0.9092559265410132
MYO5A,ZEB2,0.9156913157362692
MMP2,COL1A2,0.9284393584144024
LILRB1,DOK2,0.9097482599311956
DCN,GLT8D2,0.9230903080077544
